,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Ward/Branch.1,Routes Completed,Doors in Route,Time Spent,Did you complete more than 1 route?
0,Londonderry Chapel,Bonnie Doon Stake,1,3,14,25,Clareview Ward,1,14,25,No
1,Gateway Stake Centre,Gateway Stake,3,1,18,25,Crawford Plains Ward,2,144,30,Yes
2,Gateway Stake Centre,Gateway Stake,2,0,20,30,Silver Berry Ward,1,186,30,No
3,Gateway Stake Centre,Gateway Stake,2,0,20,25,Crawford Plains Ward,1,0,30,Yes
4,Londonderry Chapel,Bonnie Doon Stake,1,0,2,5,Londonderry Ward,1,1,-32.88349515,No
5,Bearspaw Chapel,Gateway Stake,2,0,20,20,Blackmud Creek Ward,1,179,20,No
6,Gateway Stake Centre,Gateway Stake,1,4,17,25,Lee Ridge Ward,1,141,22,No
7,Londonderry Chapel,Bonnie Doon Stake,2,0,32,45,Londonderry Ward,1,27,-32.88349515,No
8,Londonderry Chapel,Bonnie Doon Stake,2,0,100,5,Londonderry Ward,2,200,49,Yes
9,Bearspaw Chapel,Bonnie Doon Stake,2,3,15,45,Southgate Ward,1,13,35,No
10,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,30,30,Connors Hill Ward,1,300,30,No
11,Londonderry Chapel,Bonnie Doon Stake,1,0,17,60,Clareview Ward,1,110,-32.88349515,No
12,Londonderry Chapel,Bonnie Doon Stake,3,2,20,40,Londonderry Ward,1,107,40,No
13,Coronation Park Chapel,Bonnie Doon Stake,2,1,25,55,Coronation Park Ward,1,20,55,No
14,Londonderry Chapel,Bonnie Doon Stake,2,3,24,45,Clareview Ward,3,250,45,No
15,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,5,10,60,Connors Hill Ward,1,184,60,No
16,Londonderry Chapel,Bonnie Doon Stake,2,2,12,30,Londonderry Ward,1,12,-32.88349515,No
17,Londonderry Chapel,Bonnie Doon Stake,2,0,30,45,Londonderry Ward,2,0,60,No
18,Londonderry Chapel,Bonnie Doon Stake,2,0,16,25,Londonderry Ward,1,98,25,No
19,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,10,20,Forest Heights Ward,2,120,20,No
20,Coronation Park Chapel,Bonnie Doon Stake,2,0,20,60,Coronation Park Ward,1,96,60,No
21,Gateway Stake Centre,Gateway Stake,5,0,29,30,Silver Berry Ward,1,19,30,No
22,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,40,30,Forest Heights Ward,1,200,45,No
23,Coronation Park Chapel,Bonnie Doon Stake,2,0,18,63,Coronation Park Ward,1,140,63,No
24,Gateway Stake Centre,Gateway Stake,2,3,21,30,Silver Berry Ward,1,1,32,No
25,Bearspaw Chapel,Gateway Stake,5,3,24,40,Lee Ridge Ward,1,157,40,No
26,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,40,180,Connors Hill Ward,2,375,60,No
27,Gateway Stake Centre,Gateway Stake,3,0,35,30,Silver Berry Ward,1,250,740,No
28,Gateway Stake Centre,Gateway Stake,2,0,15,25,Crawford Plains Ward,1,116,25,No
29,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,30,30,Forest Heights Ward,1,115,30,No
30,Londonderry Chapel,Bonnie Doon Stake,1,1,36,45,Clareview Ward,1,15,-32.88349515,No
31,Londonderry Chapel,Bonnie Doon Stake,2,0,16,30,,1,110,35,No
32,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,15,30,Forest Heights Ward,1,90,38,No
33,North Stake Centre,Edmonton North Stake,2,1,21,45,Griesbach Ward,1,206,45,No
34,Gateway Stake Centre,Gateway Stake,2,3,21,32,Silver Berry Ward,1,202,32,No
35,North Stake Centre,Edmonton North Stake,1,1,23,45,Griesbach Ward,1,206,45,No
36,Riverbend Stake Centre,Riverbend Stake,2,0,30,50,Greenfield Ward,1,172,50,No
37,Londonderry Chapel,Bonnie Doon Stake,2,0,24,30,Clareview Ward,1,23,-32.88349515,No
38,Coronation Park Chapel,Bonnie Doon Stake,2,0,5,32,Coronation Park Ward,1,302,39,No
