Location,Stake,Ward/Branch,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,Time Spent,Neighbourhood,ID,Latitude,Longitude
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,18,25,1,2,144,30.0,Crawford Plains,2,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,20,25,1,1,0,30.0,Crawford Plains,4,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15,25,0,1,116,25.0,Crawford Plains,29,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,20,20,0,1,100,20.0,Crawford Plains,40,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,26,45,0,1,150,40.0,Crawford Plains,44,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,5,17,0,1,135,17.0,Crawford Plains,56,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15,40,0,1,115,40.0,Crawford Plains,59,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,21,50,1,2,317,50.0,Crawford Plains,70,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,11,30,1,2,261,33.0,Crawford Plains,72,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,12,25,0,1,110,25.0,Crawford Plains,75,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,15,55,1,2,236,55.0,Crawford Plains,95,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,20,60,1,2,194,60.0,Crawford Plains,108,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,37,15,1,4,520,54.0,Crawford Plains,114,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,16,30,0,1,135,30.0,Crawford Plains,122,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,2,9,20,0,1,138,20.0,Crawford Plains,128,53.44341912235957,-113.40261040440224
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,2,30,40,1,2,256,40.0,Crawford Plains,131,53.44341912235957,-113.40261040440224
